name,description,field,start_date,stage,business_registered,tax_code,status,website,fanpage,youtube,document_url,avatar_url,mentor_id,lecturer_id
VL's Social ,Xây dựng ứng dụng điện thoại quản lý mục tiêu cá nhân và mạng xã hội dành cho sinh viên Văn Lang ,,,,,,,,,,,,,
My e-Wallet,Xây dựng ứng dụng Ví điện tử dành cho sinh viên Văn Lang dùng để chi tiêu dịch vụ trong trường và lưu trữ các thẻ member/card visit.,,,,,,,,,,,,,
VL Canteen ,"Xây dựng phần mềm cho canteen của Văn Lang để cho sinh viên, giáo viên và nhân viên của Văn Lang có thể đặt món trên đó",,,,,,,,,,,,,
VanLang Vision Studio,Xây dựng Website cho phép sinh viên/phụ huynh/người tham quan có thể tham quan trường học bằng mô hình đi vào các phòng 360 độ,,,,,,,,,,,,,
Blockchain Application Identify Digital,Ứng dụng Blockchain vào việc xây dựng thẻ căn cước điện tử trong việc định danh,,,,,,,,,,,,,
E-Profile,Xây dựng Website quản lý hồ sơ điện tử bệnh nhân,,,,,,,,,,,,,
TREE BUILDER,Xây dựng ứng dụng quản lý quy trình chăm sóc cây xanh,,,,,,,,,,,,,
Van Lang House ,Xây dựng ứng dụng Quản lý tòa nhà Văn Lang để cộng đồng Văn Lang chung tay bảo vệ tài sản của chính chúng ta,,,,,,,,,,,,,
Gậy định hướng cho người khiếm thị,Nghiên cứu ứng dụng IoT tạo ra sản phẩm gậy định hướng biết nói cho người khiếm thị,,,,,,,,,,,,,
Autism Children,Xây dựng Website với nền tảng AI/ChatBot dành cho trẻ tự kỷ,,,,,,,,,,,,,
Delivery Robot,Nghiên cứu phát triển sản phẩm robot vận chuyển hàng hoá,,,,,,,,,,,,,
Get Fittie,"Nền tảng kết nối đôi bạn cùng tiến, cam kết thực hiện mục tiêu liên quan đến tập luyện và rèn luyện sức khoẻ.",,,,,,,,,,,,,
IzClaim,Dự án thiết lập nền tảng quản lý yêu cầu bồi thường bảo hiểm trên nền tảng Ethereum Blockchain,,,,,,,,,,,,,
Yuumi - Trợ lý ảo chăm sóc sức khỏe,"https://drive.google.com/open?id=1Q7DYOCWUneMeFlM8l6Z2ch9HZ9hbeTX5, https://drive.google.com/open?id=1DLm_RZitMphpaV3hSvnnJ_mDC7_Sjaam, https://drive.google.com/open?id=1ekcqIYGAKaPKKbyubUH1i1TWl3fjaKOJ",,,,,,,,,,,,,
Mặn,https://drive.google.com/open?id=1GvjJpQi-SQobGaGKHmjBDiI0T0gU-yj0,,,,,,,,,,,,,
MẠNG XÃ HỘI THỜI TRANG - M.EC,"https://drive.google.com/open?id=1tUe_Vij9V_S15W3YwjTKgvADAvi5WCSy, https://drive.google.com/open?id=1YTDt4rFnfl0m2ard7jkPdN5Eh435qW5f",,,,,,,,,,,,,
Reyond,https://drive.google.com/open?id=1umpYUx6uuTw1hoJrsyx9Sx71cqlFrqA8,,,,,,,,,,,,,
Chúng mình có nhau,https://drive.google.com/open?id=185GYDK-mOLBcT_sLUGR6JYTh_xL-R8gS,,,,,,,,,,,,,
Starlento,https://drive.google.com/open?id=1WwdKQQkmxzCJwM1eH_6pUMNhpwW-Q8S9,,,,,,,,,,,,,
Mindvivo - Trí tuệ nhân tạo tham vấn tâm lý,https://drive.google.com/open?id=1CuwT2pJo16AX_QWGFx23hc-jhiTekqdO,,,,,,,,,,,,,
S&S,https://drive.google.com/open?id=1cu010-Ndw6HFeFI-MabPVEarbzsuXDGs,,,,,,,,,,,,,
Cái thùng cà phê,https://drive.google.com/open?id=1rA4fM7NU6NsuVuGxQZ_MAJwERHg-p0eW,,,,,,,,,,,,,
UniFund,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BB45DDB9E-A981-41CA-9A97-322F2DC6F914%7D&file=RA%20KH%C6%A0I%202024%20-%20T%C3%93M%20T%E1%BA%AET%20D%E1%BB%B0%20%C3%81N%20UNIFUND.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
"Tote ""Con cò bay lả bay la""",Nguyễn Đình Khang - 2273201080652.pdf - Google Drive,,,,,,,,,,,,,
Feeco - sàn TMDT kết nối các doanh nghiệp/ Hợp tác xã có sản phẩm OCOP đến tay người tiêu dùng trên toàn quốc.,https://drive.google.com/open?id=1UKDmIB6YA_DJfsAoYm1WDk2MJcHLdOEN ,,,,,,,,,,,,,
Ứng dụng giáo dục ECoS,https://drive.google.com/open?id=1mZs5qfAHSUcX28Ruii46twY_DVTAxBvQ,,,,,,,,,,,,,
MOMBY CARE- DỊCH VỤ CHĂM SÓC SỨC MẸ VÀ BÉ SAU SINH,https://drive.google.com/open?id=1CbGPRl8VDu-u39ZcEJHXry9geVFQnMQF,,,,,,,,,,,,,
ỨNG DỤNG HỖ TRỢ - TƯ VẤN TÂM SINH LÝ,https://drive.google.com/open?id=1zq66cA3y3aJSQV37kuB5iX6JEFeHnfnR,,,,,,,,,,,,,
DỰ ÁN CÔNG TY GIẢI PHÁP TRUYỀN THÔNG ASTERI AGENCY,https://drive.google.com/open?id=1dMsefi-XGM43H3FpWLZKU40NzsGAFnNn,,,,,,,,,,,,,
INCOGNITO - Tìm hiểu và kết nối bản thân thông qua các bản dạng giới,https://drive.google.com/open?id=1NS80Y3CKQcclgPyfwfVFtTeBhNDXBEUI,,,,,,,,,,,,,
Syl's AirBNB,https://drive.google.com/open?id=19Mf2_gt-c7Z4_yLcvRCajBgNRkGKLrtPkbZ_ZW3ElB4,,,,,,,,,,,,,
KINH DOANH – QUẢNG BÁ VÀ PHÁT TRIỂN NGUỒN THUỶ SẢN CỦA HUYỆN BÌNH ĐẠI,https://drive.google.com/open?id=1RclTDteHbhBlpE60OucvJLcjL71CTBBQ,,,,,,,,,,,,,
Roje_art,https://drive.google.com/open?id=1UFro6XJ8IS9UPQD-8omYDA97_Npn7sB9,,,,,,,,,,,,,
Củ mì hương quê,https://drive.google.com/open?id=1goFwCKyIEzV6JBVs8Fz_11Gr-hi26twi,,,,,,,,,,,,,
GNED viên sủi trái cây,https://drive.google.com/open?id=1Iplco6eOYelDrbwKfaLP9OYqWBjZVYrq,,,,,,,,,,,,,
"HOME ""touch less, satisfied more""",https://drive.google.com/open?id=1xN51eHLcozOnBS7ZuOBkZSfjAx1Bxf1l,,,,,,,,,,,,,
K.SouSip Kombucha,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F01%2E%20K%2ESouSip%2F%5BTH%C3%94NG%20TIN%20D%E1%BB%B0%20%C3%81N%5D%20%2D%20K%2ESouSip%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F01%2E%20K%2ESouSip&parentview=0,,,,,,,,,,,,,
Sàn thương mại điện tử về khóa học,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B0076E53A-375D-48D2-9658-1653FF5C94DC%7D&file=%5BTTDA%5D_Q-DUCK.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
VISIA,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F03%2E%20Visia%2FT%C3%B3m%20t%E1%BA%AFt%20b%C3%A1o%20c%C3%A1o%20VISIA%2D%C4%91%C6%B0%E1%BB%A3c%20%C4%91%C3%A1nh%20s%E1%BB%91%2D%C4%91%C3%A3%20n%C3%A9n%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F03%2E%20Visia&parentview=0,,,,,,,,,,,,,
 Special Stars ,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F05%2E%20Ng%C3%B4i%20Sao%20Xanh%2F%5BTTDA%5D%5F%20Ng%C3%B4i%20Sao%20Xanh%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F05%2E%20Ng%C3%B4i%20Sao%20Xanh&parentview=0,,,,,,,,,,,,,
giải cứu thực phẩm “thừa”,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F06%2E%20Young%20Entrepreneurs%2F%5BTTDA%5D%5FNH%C3%93M%20YOUNG%20ENTREPRENEURS%20%282%29%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F06%2E%20Young%20Entrepreneurs&parentview=0,,,,,,,,,,,,,
Nền tảng công nghệ gọi đầu bếp nấu ăn tại nhà - ChefNow,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BF2A42093-224E-4E8D-9159-A7432B8925A4%7D&file=T%C3%93M%20T%E1%BA%AET%20D%E1%BB%B0%20%C3%81N%20-%20UNLIMITED.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Starlento,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F09%2E%20Starlento%2FT%C3%93M%20T%E1%BA%AET%20D%E1%BB%B0%20%C3%81N%5FSTARLENTO%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F09%2E%20Starlento&parentview=0,,,,,,,,,,,,,
TeaUni,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B192A2DD4-38AF-4A1B-B7F1-350307CE71C4%7D&file=TT%20DAKD%20-%20Ra%20kh%C6%A1i%202024.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Tái sinh phong cách,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BF3E182A1-730F-4FD6-B661-320F1B90B7FB%7D&file=%5BTTDA%5D_%20CH%E1%BB%A2%20M%E1%BB%9AI%20(1).docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
UNI GO,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B32F73C11-156D-4920-95EE-AC53B1BC8EA9%7D&file=%5BTTDA%5D_%20UniTech.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Thiết kế và Triển khai hệ thống đo tín hiệu điện tim vào đánh giá hình ảnh trên video quảng cáo,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BD4CC0477-D488-49D7-B5FB-2DE5AA9EA855%7D&file=%5BTTDA%5D_SGDi.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Kinh doanh nước hoa thiết kế Online - Amant,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BBD46295A-B175-4847-AECA-7C6A1EACFFC4%7D&file=%5BTTDA%5D_B%C3%8CNH%20TH%C6%AF%E1%BB%9CNG%20B%C3%8CNH%20TH%E1%BA%A0NH.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Ready Coffee,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BB0C105DD-19FE-4321-9B4E-013ED690E366%7D&file=%5BTTDA%5D_%20Coffee%20Forever.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Party and date - PaDa,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BCA9586DA-A745-4132-99FF-D5CFDE60C7C7%7D&file=TTDA_PaDa.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
"Ứng Dung IoT Phát Triển Hệ Thống Điều Khiển, Giám Sát Nhiệt Độ Cho Xe Hàng Đông Lạnh",https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BC80EA818-614D-4745-B60C-EF9BD7B3AE86%7D&file=%5BTTDA%5D_%20T%20%26%20V.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
PHÁT TRIỂN VÀ KINH DOANH CÁC SẢN PHẨM THỰC PHẨM TỐT CHO SỨC KHOẺ,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F07%2E%20Es%2F%5BTTDA%5D%5F%20Es%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F07%2E%20Es&parentview=0,,,,,,,,,,,,,
ĐAI ĐIỀU HÒA TÍCH HỢP APP ĐIỀU KHIỂN BLUETOOTH - SAC (SMART AIRCON CLOTHING),https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BEEC10F79-EFF2-449C-B6D3-6FC8D32B06C8%7D&file=%5BTTDA%5D_%20THE%20SHARKS.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Highway Safety,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BFDFB6F62-FE72-4FCA-8B9C-98F5C748B5F3%7D&file=%5BTTDA%5D_Making%20Safe.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
LOVE CARE ( ứng dụng book chăm sóc sức khỏe mẹ và bé),https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B17980286-9066-4640-AFF6-2C17C95D5D84%7D&file=%5BTTDA%5D%20%20SAILING.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
FART EDUCATION AND INNOVATION,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B28AE34C4-AFBC-46A2-881B-957577899D0F%7D&file=%5BTTDA%5D_%20FINE.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Mini Water Treatment Kit ,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F18%2E%20Zest%2F%5BTTDA%5D%5FZEST%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F18%2E%20Zest&parentview=0,,,,,,,,,,,,,
Safety & Swimming Rescue Equipment (Thiết bị cứu hộ dưới nước tích hợp trí tuệ nhân tạo (AI) và tự động hóa),https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F23%2E%20Esp%C3%A9rance%2F%5BTTDA%5D%20%5F%20Esp%C3%A9rance%20%5F%20SSRE%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F23%2E%20Esp%C3%A9rance&parentview=0,,,,,,,,,,,,,
GOOWEDDING (GooWedding) - Ứng dụng cung cấp dịch vụ liên quan đến tiệc cưới và các thủ tục nghi thức cưới hỏi.,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F22%2E%20Esp%C3%A9rance%2F%5BTTDA%5D%20%5F%20Esp%C3%A9rance%20%5F%20GooWedding%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F22%2E%20Esp%C3%A9rance&parentview=0,,,,,,,,,,,,,
"GẤM – Thương hiệu thời trang các phụ kiện phục trang bằng vải tái chế và họa tiết gấm hoa, thổ cẩm với mô hình tiện lợi hơn, tiết kiệm hơn",https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F24%2E%20Esp%C3%A9rance%2F%5BTTDA%5D%20%5F%20Esp%C3%A9rance%20%5F%20GAM%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F24%2E%20Esp%C3%A9rance&parentview=0,,,,,,,,,,,,,
FAL ACADEMY,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BB2B8A189-D842-4A99-9F71-90352A594C53%7D&file=%5BTTDA%5D_%20FAL%20ACADEMY.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
AudioScape,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B5B9E4B2C-88A8-4FEB-995A-D4A4A5361AE6%7D&file=MOSAIC-RA-KH%C6%A0I.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Khởi nghiệp Dịch vụ Custom quần áo,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B7D2279A2-4648-43F7-9491-5368774B13A8%7D&file=STARTUP%20VLU%202024.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
AS(O)AP! ,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F28%2E%20GIIno%2F%5BTTDA%5D%5F%20GIIno%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F28%2E%20GIIno&parentview=0,,,,,,,,,,,,,
Thiết kế và Triển khai hệ thống đo lường hiệu quả tái sắp xếp gian hàng bằng hệ thống computer vison,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B57E55192-2040-4DC8-BE13-A0FE5682BA91%7D&file=%5BTTDA%5D_SGDi.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
VFC - PCS (Privacy-enhanced credential service) - Dịch vụ chứng thực thông tin nâng cao quyền riêng tư trên cơ sở BlockChain,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B9D037016-DF2D-4A20-B359-725AB33660F8%7D&file=%5BTTDA%5D_VFC%20Group_KhoaCNTT_Team3.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
SDorm - Phần mềm quản lý ký túc xá thông minh cho các trường đại học,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BF6AA8424-A996-4A56-88D4-28FF86B62139%7D&file=%5BTTDA%5D_Brainstorm_KhoaCNTT_Team4.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Ứng dụng gợi ý lịch trình du lịch - DreamTrip,https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7B19E0F9FE-C5D6-4710-89C4-EB16785710ED%7D&file=%5BTTDA%5D_NewHorizon_KhoaCNTT_Team2.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Mạng Lưới Thực Phẩm Bền Vững (Sustainable Food Network),https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BEC8265A6-1EAE-4090-BFA8-7DCDCA15527B%7D&file=%5BTTDA%5D_%20Fair%20and%20Square.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
Quỹ phòng hộ lạm phát – GOLDI,https://vanlangunivn-my.sharepoint.com/personal/quan_dh_vlu_edu_vn/_layouts/15/onedrive.aspx?id=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F34%2E%20Double%2DM%2F%5BTTDA%5D%20%5F%20DOUBLE%2DM%2Epdf&parent=%2Fpersonal%2Fquan%5Fdh%5Fvlu%5Fedu%5Fvn%2FDocuments%2FRa%20Kh%C6%A1i%2024%2FRa%20Kh%C6%A1i%2024%2FTR%E1%BB%8CNG%20%2D%20H%E1%BB%92%20S%C6%A0%20D%E1%BB%B0%20THI%20RA%20KH%C6%A0I%202024%2F34%2E%20Double%2DM&parentview=0,,,,,,,,,,,,,
Thiết bị cảnh báo buồn ngủ khi lái xe (SLEEPY SENTINEL),https://vanlangunivn-my.sharepoint.com/:w:/r/personal/quan_dh_vlu_edu_vn/_layouts/15/Doc.aspx?sourcedoc=%7BBF398B51-3A57-4423-BF56-DB4E25A062A9%7D&file=ttda-twos-group.docx&action=default&mobileredirect=true&wdsle=0,,,,,,,,,,,,,
